record_type	name	commit	git_object	sha256	worktree_state	notes
repository	FigureForge	9888601f2119e03380855aaadd92b340f8a24964	dd6026c700b5d715d0a66b31db6531324793ec80	6c56562ce897d7ef0d61ebc219f7b8dd257523bbdc7f34bf8bccadc5fddda516	clean	release-source digest from certification identity
component	skills/figureforge	9888601f2119e03380855aaadd92b340f8a24964	6f65e3c76679a683fa7c280a9b6e869bdc553041	a1edd7f570d527c7fc8ac3002db85f59be92274f17fefd5107a35cb208a8ddc8	clean	canonical SHA-256 of Git tree listing
component	scripts/run_figureforge_live_evals.sh	9888601f2119e03380855aaadd92b340f8a24964	792b10de5ccb2e6867d0f0a91cd2b8edb7f23da2	3d2fd31247d902d24eea0a5a97e3f1c6834e5aedb57a1380974cb19b6cfaeee2	clean	committed file bytes
component	scripts/run_figureforge_plotting_eval.sh	9888601f2119e03380855aaadd92b340f8a24964	f492eecaa5f268c32b4cc7ed87fe07559a433693	2db928dfc7313a881c752c144031a6a70d34869d11bbb0e4c13984433cba693e	clean	committed file bytes
component	scripts/run_figureforge_mode_evals.sh	9888601f2119e03380855aaadd92b340f8a24964	256d0a015e1631987fbf07b0e55d51d4ca852639	a7f9c1d87ae81603b45d094d537691e5ab73f9768dc50b8a03eba066b94e68b7	clean	committed file bytes
component	scripts/evaluate_figureforge_mode_probe.R	9888601f2119e03380855aaadd92b340f8a24964	a3ea58c3dbcd5932e833e72c7c03d9b0ae3bb44e	ae2fcc835ff2babef7ae5a01fd8ed90bcc8bcbdcd46f8161b30dcc9bb8279b92	clean	committed file bytes
component	scripts/lib/live_mode_evaluation.R	9888601f2119e03380855aaadd92b340f8a24964	9453e8005b7b84bcff71f4166aaaa369c0d4327d	35aa6273cc4bbb10444010117ecfebdfae079e92c1a037a325c8406e507ff624	clean	committed file bytes
component	scripts/verify_figureforge_v110.sh	9888601f2119e03380855aaadd92b340f8a24964	f71f70e8ab0838ac6cfb83a9679a775f6aba0fae	67ee42a9513a5b5aab99c1a36a8abc96f743c7d1aeb452a978336621b69b577e	clean	committed file bytes
component	scripts/lib/release_certification.R	9888601f2119e03380855aaadd92b340f8a24964	95bb2b7dc6c3fa366a84583e6b274a25f8e97201	42bf1b8c46d635672d1430eec2ba27008fdddfd656eb68bc4c0e2b53970240ea	clean	committed file bytes
component	scripts/check_figureforge_v110_certification.R	9888601f2119e03380855aaadd92b340f8a24964	4675c05d9fc4cfa15aa2c559375ccde9980860b8	b4bce401cd8c74e41a24ba5263eb84327377408c6c610fe2e0149843f16a5461	clean	committed file bytes
component	scripts/write_figureforge_v110_certification_identity.R	9888601f2119e03380855aaadd92b340f8a24964	0d67207728a9dcf0d2e9f26b661a9a30edc0ca2c	58ce1d35616ea799f0e19d61983830cf65b270359895eff3b8113903a024bdd4	clean	committed file bytes
component	skills/figureforge/scripts/package_skill.R	9888601f2119e03380855aaadd92b340f8a24964	ff29b26f236917776d4c79b1846490e712973eeb	f6bd312ce664b5faee6a7ea36d40557e5781c8f3f55efd3b258772108b06b6b5	clean	committed file bytes
