gene_id,Gene,log2FoldChange1,log2FoldChange2
ENSG00000138061,CYP1B1,-1.53707380009807,-0.91420321033907
ENSG00000106366,SERPINE1,-0.98167077865013,0.283641298188236
ENSG00000204388,HSPA1B,-0.914095927904257,-0.776524228048792
ENSG00000204389,HSPA1A,-0.93647289164957,-0.826241108845044
ENSG00000166923,GREM1,-1.62881578405611,-0.562214491895037
ENSG00000113739,STC2,-0.789018848617082,0.243185735108694
ENSG00000144583,MARCHF4,-1.66030323236407,-0.323213901978464
ENSG00000117394,SLC2A1,-0.583274522243833,0.20865343277571
ENSG00000108691,CCL2,-0.765563891657898,0.0066382811288714
ENSG00000006327,TNFRSF12A,-0.667014314826278,0.0357545169397148
ENSG00000198959,TGM2,-0.455305756379457,0.278039494277687
ENSG00000184009,ACTG1,-0.412154411604962,-0.062250624355476
ENSG00000178209,PLEC,-0.43970242331129,-0.0147345124605359
ENSG00000109971,HSPA8,-0.514351532774975,-0.399542438431141
ENSG00000163659,TIPARP,-0.688494681029713,-0.25008350926003
ENSG00000159176,CSRP1,-0.486282543641972,0.145470546361062
ENSG00000137801,THBS1,-0.734313972252841,-0.072628623208301
ENSG00000271303,SRXN1,-0.490845423269248,-0.400716796622503
ENSG00000070404,FSTL3,-0.459885848093454,-0.216337821453613
ENSG00000104419,NDRG1,-0.545717627937332,1.21389002682176
ENSG00000146674,IGFBP3,-0.428592610084224,0.602813649124258
ENSG00000117228,GBP1,-0.617911459389135,0.0289655700197961
ENSG00000134013,LOXL2,-0.434932448657942,-0.0121107071145997
ENSG00000003989,SLC7A2,0.631896043522037,0.352613407117138
ENSG00000100439,ABHD4,-0.515299107075519,-0.210411283977848
ENSG00000264230,ANXA8L1,-0.477948338585304,-0.111043661296578
ENSG00000196878,LAMB3,-0.414247630230696,0.110878850308537
ENSG00000265190,ANXA8,-0.477056461112635,-0.05632017001477
ENSG00000150938,CRIM1,-0.395345798430182,0.276621745682803
ENSG00000141232,TOB1,0.523704582812829,0.0831180175499889
ENSG00000196924,FLNA,-0.314721739617024,-0.08550616320756
ENSG00000112576,CCND3,-0.375985109875944,0.138781183012725
ENSG00000175793,SFN,-0.54227900059035,-0.748475645567973
ENSG00000127824,TUBA4A,-0.3580207796168,-0.20697013325633
ENSG00000177469,CAVIN1,-0.399912990825599,-0.164351207138801
ENSG00000103257,SLC7A5,-0.423304563339498,0.126824873484241
ENSG00000111642,CHD4,0.442210291645117,-0.310653494772135
ENSG00000058085,LAMC2,-0.367226742069559,-0.374619108258316
ENSG00000119922,IFIT2,-0.279734459083524,0.439082883373045
ENSG00000071127,WDR1,-0.339925660197109,-0.062730369261362
ENSG00000186480,INSIG1,-0.70846360818925,-0.671643565541401
ENSG00000035403,VCL,-0.311154628045666,-0.0369642119329544
ENSG00000138678,GPAT3,-0.681277206372205,-0.347081178204152
ENSG00000084710,EFR3B,-0.443461910494815,-0.159253846042766
ENSG00000166780,BMERB1,-0.504508534199052,0.23378387290414
ENSG00000133030,MPRIP,-0.362222900750793,0.131016616334627
ENSG00000089280,FUS,-0.312849158689377,-0.13843326011416
ENSG00000169213,RAB3B,-0.552780134241687,0.26456468566977
ENSG00000173706,HEG1,-0.387712313099925,0.0705878521683023
ENSG00000128335,APOL2,-0.441836685794873,0.20688529630416
ENSG00000147394,ZNF185,-0.616994233842886,-0.277197921855952
ENSG00000103335,PIEZO1,-0.334377884322738,0.0897813146020933
ENSG00000119917,IFIT3,-0.27735008946692,0.280006366693324
ENSG00000185567,AHNAK2,-0.281626796404025,0.194683519105627
ENSG00000139278,GLIPR1,-0.475980272986031,-0.287196233116493
ENSG00000100342,APOL1,-0.309298340409698,-0.0132220319686616
ENSG00000171345,KRT19,-0.405895899781798,0.117384122473668
ENSG00000062038,CDH3,-0.407424153573735,-0.238884170199034
ENSG00000168906,MAT2A,-0.357095465763213,0.313188575750976
ENSG00000130513,GDF15,0.72201664700422,1.08930127360651
ENSG00000125772,GPCPD1,0.522376257578815,0.78531394577042
ENSG00000137331,IER3,-0.382023195035063,0.182936440456837
ENSG00000175591,P2RY2,-0.523758073448943,0.165605643778697
ENSG00000129116,PALLD,-0.3209807701978,-0.240883595534375
ENSG00000172602,RND1,-0.484098348508181,0.287696059047052
ENSG00000067057,PFKP,-0.330973282013169,0.0383826089339359
ENSG00000174437,ATP2A2,-0.268619747542513,0.110050006306757
ENSG00000023445,BIRC3,-0.335951880730622,-0.00062320005073399
ENSG00000146376,ARHGAP18,0.710732119018226,0.244636824166346
ENSG00000131711,MAP1B,-0.281347720742731,-0.063436328810175
ENSG00000106804,C5,0.48267641065892,0.567588495791335
ENSG00000133216,EPHB2,-0.307576653967215,-0.0328158123175083
ENSG00000115414,FN1,-0.245248815435252,0.115418262112345
ENSG00000163870,TPRA1,-0.46262143060886,-0.226328328650707
ENSG00000130402,ACTN4,-0.293193584135138,0.108204544143856
ENSG00000130164,LDLR,-0.365398456263253,-0.244822516798413
ENSG00000072110,ACTN1,-0.267038938588536,0.0866847731023749
ENSG00000132470,ITGB4,-0.320579319256101,0.437788192118139
ENSG00000124102,PI3,-0.76157179087621,-0.626195918802164
ENSG00000005884,ITGA3,-0.256434975679763,0.268131962216024
ENSG00000164611,PTTG1,0.547965043467034,-0.736880447979324
ENSG00000149925,ALDOA,-0.263646659451508,-0.171849163302022
ENSG00000162645,GBP2,-0.621569874801826,0.216713567647254
ENSG00000138119,MYOF,-0.265615706155928,0.0665321960992659
ENSG00000085662,AKR1B1,-0.292707986894117,0.0642386828202282
ENSG00000172936,MYD88,-0.347582679191075,-0.022895586688181
ENSG00000146678,IGFBP1,-0.556080468510839,1.10450637332426
ENSG00000166532,RIMKLB,0.464115653832783,0.817230561759929
ENSG00000134294,SLC38A2,0.36351388542359,0.48834088288191
ENSG00000103187,COTL1,-0.26628606570761,-0.288722982194151
ENSG00000041982,TNC,-0.400151743133151,-0.465666036417426
ENSG00000164574,GALNT10,-0.258184756946004,-0.054026465271811
ENSG00000102144,PGK1,-0.276454264249698,-0.097759312295921
ENSG00000169715,MT1E,-0.947906781916541,-0.473547103911183
ENSG00000130589,HELZ2,-0.233275118782842,0.334970301115662
ENSG00000140538,NTRK3,0.437979296950515,0.268224290705312
ENSG00000178860,MSC,-0.450290984115433,0.0077568895320476
ENSG00000182704,TSKU,-0.277658753649593,0.110768376426921
ENSG00000100345,MYH9,-0.311133038775656,-0.091607455518644
ENSG00000127946,HIP1,0.501559519273503,-0.0423338887949219
ENSG00000074527,NTN4,-0.400213399645338,0.227834845954668
ENSG00000124201,ZNFX1,-0.261607042032535,0.167859545098451
ENSG00000011422,PLAUR,-0.34587768435721,-0.0225650016136228
ENSG00000108960,MMD,0.663340138167108,0.100558575858735
ENSG00000163975,MELTF,-0.338324100927402,-0.054389340372253
ENSG00000184254,ALDH1A3,-0.60731773133527,-0.441954590918579
ENSG00000162734,PEA15,-0.408748145326756,-0.253533558799577
ENSG00000203867,RBM20,0.798987565508348,0.41775900297263
ENSG00000175727,MLXIP,-0.270576970434002,0.0547467293922912
ENSG00000147100,SLC16A2,-0.436785565286632,-0.06824275255441
ENSG00000187193,MT1X,-0.58037603923036,0.272772554891805
ENSG00000167778,SPRYD3,-0.377565515508132,-0.154655093809196
ENSG00000168003,SLC3A2,-0.29563436114574,0.0427068460590671
ENSG00000119408,NEK6,-0.384289341058042,0.161991443356465
ENSG00000204616,TRIM31,0.633213587494716,0.537420306997775
ENSG00000215182,MUC5AC,-0.390785579741986,-0.0182496236939041
ENSG00000181649,PHLDA2,-0.611891489570643,-0.207950161212681
ENSG00000146648,EGFR,-0.237098433947303,0.285369892898456
ENSG00000187498,COL4A1,-0.37298893496593,-0.102996042511729
ENSG00000120875,DUSP4,-0.215033003673496,0.303456433353195
ENSG00000171848,RRM2,-0.264625449557547,-0.612394026667363
ENSG00000135924,DNAJB2,-0.438595220901839,0.194592922191516
ENSG00000221963,APOL6,-0.240433495449505,0.0983958600145473
ENSG00000078674,PCM1,0.376164313821875,0.0101721965819069
ENSG00000003402,CFLAR,-0.250112639549623,0.17544908873628
ENSG00000117724,CENPF,0.462676417648562,-0.418283611891522
ENSG00000117298,ECE1,-0.276563296290668,-0.075706606817516
ENSG00000142949,PTPRF,-0.269914111310102,0.117222174482471
ENSG00000133816,MICAL2,-0.331989176823513,0.37400148865394
ENSG00000189060,H1-0,0.41214321677301,-0.0296515851536357
ENSG00000114480,GBE1,-0.331320498557736,0.0568986708302392
ENSG00000197694,SPTAN1,-0.209116568993949,-0.056829737700435
ENSG00000147065,MSN,-0.191156331751374,-0.0400844022363129
ENSG00000160293,VAV2,-0.359248068490964,-0.055115912456583
ENSG00000166106,ADAMTS15,-0.756010766119366,-0.201401595117811
ENSG00000275395,FCGBP,-0.404915895653337,0.111629247359039
ENSG00000198431,TXNRD1,-0.268881046625502,-0.243541037207958
ENSG00000117262,GPR89A,-0.589956610346051,0.418091351405003
ENSG00000123358,NR4A1,0.521111455775554,0.529294439284002
ENSG00000103966,EHD4,-0.285561001919183,-0.0407297224358186
ENSG00000011304,PTBP1,-0.229963539401225,0.0236415264178458
ENSG00000173230,GOLGB1,0.373949889070206,0.188878351206312
