"gene_id","SYMBOL","ENTREZID","log2FoldChange","pvalue","padj","change"
"ENSRNOG00000045560","Gvin1",499229,1.76780284063761,2.34716240622503e-79,3.42005034211049e-75,"Up"
"ENSRNOG00000010274","Smc4",295107,1.66819224873979,1.10260126392992e-66,8.03300150836146e-63,"Up"
"ENSRNOG00000063679","Samd9l",103690031,1.86053967678708,2.07584478056666e-54,1.00823780992123e-50,"Up"
"ENSRNOG00000051922",NA,NA,2.12719646358543,1.6679275803938e-52,6.07584319347951e-49,"Up"
"ENSRNOG00000014031","Esco1",680014,1.75929403925942,1.16556164787913e-49,3.39667975424935e-46,"Up"
"ENSRNOG00000066372","Zfp709l1,LOC100912823",690419100912823,2.66346943276516,1.05761901447324e-48,2.56842777664826e-45,"Up"
"ENSRNOG00000003712","Ppp4r3b",360993,1.42906840367452,1.67335625956568e-45,3.48321057973308e-42,"Up"
"ENSRNOG00000006545","Septin7",64551,1.38998188824606,1.11867005635551e-44,2.03751767389452e-41,"Up"
"ENSRNOG00000064745",NA,NA,1.88155062296045,1.08503511335319e-40,1.75667184851881e-37,"Up"
"ENSRNOG00000016281","Col4a1",290905,-1.09166306723459,1.27868662259069e-40,1.86317427777689e-37,"Down"
"ENSRNOG00000025539","Vps13a",309243,1.34526707485617,3.74132500109365e-40,4.95589514463051e-37,"Up"
"ENSRNOG00000031031","Zfp292",50552,1.47724415548233,2.58498089805225e-38,3.13881305545995e-35,"Up"
"ENSRNOG00000023972","Col4a2",306628,-1.09582836688237,1.14360881936687e-37,1.28180954669189e-34,"Down"
"ENSRNOG00000019648","Col6a3",367313,-1.1612583127799,1.42917145368015e-37,1.48746123225525e-34,"Down"
"ENSRNOG00000062350",NA,NA,1.37293996037688,2.59482426082462e-37,2.52061228696504e-34,"Up"
"ENSRNOG00000006487","Casp8ap2",313128,1.51813557388832,3.1504011428836e-37,2.86903094080981e-34,"Up"
"ENSRNOG00000000823","Gcc2",309798,1.83787385887672,8.7122371136825e-36,7.4674121754981e-33,"Up"
"ENSRNOG00000051756","Zfp62",497894,1.4417903273975,1.0166331902213e-35,8.22964567484144e-33,"Up"
"ENSRNOG00000004908","Smc6",313961,1.52380432366808,2.41560710897288e-34,1.85251637814968e-31,"Up"
"ENSRNOG00000007124","Krcc1",312437,1.27588800204855,3.49768634596579e-34,2.54823938735338e-31,"Up"
"ENSRNOG00000003357","Col3a1",84032,-1.10264027801295,3.74894664729574e-34,2.60123340941649e-31,"Down"
"ENSRNOG00000032825","Rpl30,LOC100362027",64640100362027,1.46293449764272,4.19344345399867e-34,2.77739384400976e-31,"Up"
"ENSRNOG00000056907","Nipbl",294787,1.27436615938888,6.888135955215e-34,4.36378386971469e-31,"Up"
"ENSRNOG00000016391","Arid4b",84481,1.42643664847843,8.45991396325544e-34,5.13622526494146e-31,"Up"
"ENSRNOG00000002394","Tpr",304862,1.35784776235258,1.40560171676542e-33,8.19240904599559e-31,"Up"
"ENSRNOG00000008744","Cops2",261736,1.50298913286242,1.55165825502135e-33,8.69585093612158e-31,"Up"
"ENSRNOG00000005730","Pcmtd1",366300,1.17480184446302,2.94201524657729e-33,1.58770756140288e-30,"Up"
"ENSRNOG00000069303","Sh3bgrl",302363,1.43011716701374,1.14945482766414e-32,5.98168081924791e-30,"Up"
"ENSRNOG00000029564","Trat1",498075,1.94134661592635,1.27873056421738e-32,6.42495967283153e-30,"Up"
"ENSRNOG00000021437","Hspg2",313641,-0.995476589451181,5.36741221381571e-32,2.60695211225029e-29,"Down"
"ENSRNOG00000008393","Tax1bp1",246244,1.12464074081888,1.06145130337546e-31,4.98916352951092e-29,"Up"
"ENSRNOG00000004496","Rock2",25537,1.19897928262164,2.5699142636742e-31,1.1701943979999e-28,"Up"
"ENSRNOG00000062461","Rex2",100362123,2.1288206489446,1.2091361237634e-30,5.3388855937444e-28,"Up"
"ENSRNOG00000065666","LOC120102230",120102230,1.60340348475788,1.05609158184713e-29,4.5259736585572e-27,"Up"
"ENSRNOG00000051563","Giot1",171090,2.29401812344787,4.81784255815901e-29,2.00573668328385e-26,"Up"
"ENSRNOG00000006833","Rb1cc1",312927,1.3935401250132,5.22670471611117e-29,2.115508733846e-26,"Up"
"ENSRNOG00000050437","Bod1l1",207118,1.20378875790497,8.40036950743866e-29,3.2467511627591e-26,"Up"
"ENSRNOG00000070363",NA,NA,2.84064282776597,8.46726677543379e-29,3.2467511627591e-26,"Up"
"ENSRNOG00000056703","Atrx",246284,1.46359108751726,1.601138537411e-28,5.98209990477326e-26,"Up"
"ENSRNOG00000060355","H1f5",680522,-1.55914927139274,2.85140354318141e-28,1.03869502569241e-25,"Down"
"ENSRNOG00000023093","Mis18bp1",689296,1.79995622008211,3.47975391849818e-28,1.23667059381554e-25,"Up"
"ENSRNOG00000032668","LOC102550291",102550291,2.14184270512424,3.65526251978958e-28,1.268115004187e-25,"Up"
"ENSRNOG00000003787","Lcorl",498385,1.78092610992064,4.35189786348139e-28,1.47468613415785e-25,"Up"
"ENSRNOG00000060100","Knl1",311327,1.66507111455268,8.35362496665549e-28,2.76637884975312e-25,"Up"
"ENSRNOG00000036592","Zfp518a",309478,1.6859720897237,1.04379623954887e-27,3.37981222365924e-25,"Up"
"ENSRNOG00000048264","H4f3",684828,-1.24225287184469,1.10149742388756e-27,3.48911281814469e-25,"Down"
"ENSRNOG00000065886","H3c13",684762,-1.32893599348357,1.16233983057947e-27,3.6035007811433e-25,"Down"
"ENSRNOG00000033792","RGD1561413",500585,2.13239544365081,1.76648652051326e-27,5.36239064383307e-25,"Up"
"ENSRNOG00000004864","Prpf40a",295607,1.18451537363771,2.24534820776477e-27,6.67693239496743e-25,"Up"
"ENSRNOG00000029885","Stag2",313304,1.12103187445552,2.31986406903759e-27,6.76054786998936e-25,"Up"
"ENSRNOG00000051578","Zfp54,LOC102552527",308232102552527,2.21449510159885,3.06035580033304e-27,8.68061070743888e-25,"Up"
"ENSRNOG00000001049","Tpt1",116646,0.895928807449757,3.09787768023349e-27,8.68061070743888e-25,"Up"
"ENSRNOG00000039091","Pnpla8",314075,1.42248318639834,3.3436344308982e-27,9.19247118728636e-25,"Up"
"ENSRNOG00000047137","Erbin",365661,1.03170971321727,4.1266702177624e-27,1.11351318042622e-24,"Up"
"ENSRNOG00000010155","Pcm1",81740,1.18280765878392,5.16920552117439e-27,1.36946352089149e-24,"Up"
"ENSRNOG00000036913","Resf1",316982,1.313807676161,5.39509030313804e-27,1.40378322869686e-24,"Up"
"ENSRNOG00000009891","Pcf11",361605,1.1589071281739,5.5680386738993e-27,1.42336651784889e-24,"Up"
"ENSRNOG00000007884","Bcap29",298943,1.38698274578436,6.5170204208433e-27,1.6372328371053e-24,"Up"
"ENSRNOG00000007315","Thoc2",313308,1.2182153893491,1.17955846613232e-26,2.91310956101934e-24,"Up"
"ENSRNOG00000067344","LOC102550711,LOC102551714,LOC120094815,LOC120094816",1.02550711102552e+35,1.70624245322598,3.56017640222743e-26,8.64588839280931e-24,"Up"
"ENSRNOG00000012385","Naa15",310399,1.10323680344702,5.7543608615997e-26,1.3745375756454e-23,"Up"
"ENSRNOG00000016152","Dek",306817,1.13366778347512,1.15862832677968e-25,2.72296344346883e-23,"Up"
"ENSRNOG00000009057","Sec62",294912,1.356439810122,2.07713803047317e-25,4.80412353048008e-23,"Up"
"ENSRNOG00000020997","Ms4a4c",293746,1.27651576891521,3.05733343451538e-25,6.96068835536307e-23,"Up"
"ENSRNOG00000007302","Fbn1",83727,-0.942540276105817,3.40028195645768e-25,7.62238590577613e-23,"Down"
"ENSRNOG00000019875","Matr3",29150,1.03659232962834,4.00338561489955e-25,8.83838360525778e-23,"Up"
"ENSRNOG00000070513","Hist1h2ao",364723,-1.3843627755464,4.83090545519012e-25,1.05061378190411e-22,"Down"
"ENSRNOG00000026319","Akap9",246150,1.20219106342479,6.45241041498439e-25,1.38261870818732e-22,"Up"
"ENSRNOG00000031995","Smim15",100359861,1.06445483311348,7.20442616583653e-25,1.52138686467252e-22,"Up"
"ENSRNOG00000022871","LOC691170",691170,1.64463854104978,7.72080371369908e-25,1.60714044160442e-22,"Up"
"ENSRNOG00000054901","Rif1",295602,1.07637264430312,1.14427353666861e-24,2.34833939476034e-22,"Up"
"ENSRNOG00000057806","Trpm7",679906,0.919333456253968,1.64358009868305e-24,3.32619522470983e-22,"Up"
"ENSRNOG00000015577","Lpar6",691774,1.12091723010124,1.8900711562694e-24,3.77263381068513e-22,"Up"
"ENSRNOG00000011817","Rpl22l1",361923,1.18892382303964,1.96395266647832e-24,3.8671289598994e-22,"Up"
"ENSRNOG00000064520","Hist3h2a",64646,-1.18243884973961,2.1734838202437e-24,4.20007462446389e-22,"Down"
"ENSRNOG00000023005","LOC681325",681325,1.80851427306268,2.19069158917889e-24,4.20007462446389e-22,"Up"
"ENSRNOG00000004971","Txlng",302680,1.47987313877979,2.74715041601186e-24,5.19853619632581e-22,"Up"
"ENSRNOG00000065897",NA,NA,1.86849718225929,3.01601271410627e-24,5.63414375092852e-22,"Up"
"ENSRNOG00000045636","Fasn",50671,-0.987035532583844,3.1172163264656e-24,5.74948849277598e-22,"Down"
"ENSRNOG00000052444","Samd9",500011,1.92418682577905,3.16835102761745e-24,5.77075535292673e-22,"Up"
"ENSRNOG00000066835","H3c13",684762,-1.3502430359767,3.52659032617092e-24,6.34394415341192e-22,"Down"
"ENSRNOG00000062931","LOC102550657",102550657,2.32884325564014,4.17254651831112e-24,7.41441162418432e-22,"Up"
