"carat","price","cut"
0.72,2530,"Ideal"
0.3,526,"Very Good"
1.1,4829,"Ideal"
2.01,16231,"Good"
0.35,540,"Ideal"
0.3,878,"Premium"
0.51,1304,"Very Good"
1.01,4566,"Very Good"
1.1,4689,"Very Good"
0.5,1436,"Good"
0.51,1678,"Very Good"
0.7,2167,"Fair"
1.03,4843,"Premium"
1.55,11364,"Good"
0.59,1646,"Ideal"
0.23,680,"Premium"
1.04,4566,"Premium"
1.23,5763,"Ideal"
0.31,625,"Ideal"
0.41,719,"Premium"
1.04,4980,"Premium"
2,13203,"Very Good"
0.4,1323,"Ideal"
0.91,4303,"Very Good"
0.23,465,"Very Good"
0.33,723,"Ideal"
0.56,2426,"Fair"
0.51,2834,"Very Good"
1.51,8396,"Ideal"
0.82,2692,"Ideal"
0.3,742,"Ideal"
0.52,1670,"Very Good"
1.21,5540,"Premium"
0.3,407,"Ideal"
0.35,526,"Very Good"
0.74,3668,"Ideal"
1.19,4665,"Very Good"
0.31,680,"Ideal"
0.36,677,"Very Good"
0.5,1279,"Premium"
0.88,4054,"Ideal"
1.02,3856,"Ideal"
0.33,579,"Premium"
0.32,576,"Ideal"
1.71,13818,"Very Good"
2.04,12454,"Premium"
1.6,9548,"Ideal"
0.5,1237,"Ideal"
0.57,1851,"Ideal"
0.33,521,"Very Good"
0.38,587,"Ideal"
0.42,908,"Ideal"
0.33,520,"Premium"
0.3,774,"Very Good"
0.35,722,"Ideal"
1.05,3528,"Ideal"
0.71,2511,"Ideal"
1.27,10028,"Premium"
2.04,18115,"Premium"
0.54,1356,"Premium"
0.32,612,"Ideal"
1.01,3768,"Good"
0.38,1096,"Ideal"
1.69,6320,"Premium"
1.13,5759,"Ideal"
0.31,907,"Ideal"
0.36,648,"Ideal"
0.7,3425,"Premium"
0.43,850,"Ideal"
0.41,1230,"Premium"
1.51,7766,"Premium"
0.31,749,"Very Good"
0.71,2147,"Premium"
1.02,4167,"Good"
0.3,982,"Ideal"
0.51,1437,"Ideal"
0.71,3217,"Ideal"
0.36,568,"Very Good"
0.45,1080,"Fair"
0.59,1352,"Ideal"
0.33,579,"Premium"
0.74,2109,"Premium"
0.25,548,"Very Good"
0.8,4493,"Ideal"
