"time","depth","mag","place"
"2024-01-01T07:06:05.477Z",10,5.8,"42 km NE of Anamizu, Japan"
"2024-01-01T07:10:09.476Z",10,7.5,"2024 Noto Peninsula, Japan Earthquake"
"2024-01-01T07:18:41.584Z",10,6.2,"8 km SW of Anamizu, Japan"
"2024-01-01T07:39:49.268Z",10,5.2,"56 km ENE of Anamizu, Japan"
"2024-01-01T07:52:43.251Z",81.212,5.3,"94 km SE of Gorontalo, Indonesia"
"2024-01-01T07:56:47.661Z",10,5.6,"7 km N of Anamizu, Japan"
"2024-01-01T08:02:44.840Z",10,5,"56 km NE of Anamizu, Japan"
"2024-01-01T08:07:10.627Z",10,5.1,"26 km WSW of Anamizu, Japan"
"2024-01-01T09:03:48.859Z",10,5.5,"56 km NE of Anamizu, Japan"
"2024-01-01T09:08:17.603Z",10,5.6,"54 km NE of Anamizu, Japan"
"2024-01-01T09:30:21.401Z",10,5.2,"50 km NE of Anamizu, Japan"
"2024-01-01T09:39:59.811Z",10,5,"23 km WSW of Anamizu, Japan"
"2024-01-01T09:45:26.217Z",10,5.1,"73 km WSW of Sado, Japan"
"2024-01-02T01:17:31.568Z",6,5.4,"11 km W of Anamizu, Japan"
"2024-01-02T19:59:31.888Z",47.706,5,"27 km WSW of Calongbuyan, Philippines"
"2024-01-02T22:57:00.970Z",188.635,5,"97 km W of El Aguilar, Argentina"
"2024-01-03T01:11:31.461Z",76.597,5,"22 km E of Hinatuan, Philippines"
"2024-01-03T01:43:15.915Z",61.922,5.2,"36 km SSE of Madang, Papua New Guinea"
"2024-01-03T01:54:34.243Z",10,5.3,"12 km N of Anamizu, Japan"
"2024-01-03T08:04:04.468Z",117,5.5,"68 km WNW of Vinchina, Argentina"
"2024-01-03T18:07:13.613Z",10,5.1,"south of Africa"
"2024-01-03T21:12:54.145Z",10,5,"Maug Islands region, Northern Mariana Islands"
"2024-01-04T00:43:16.914Z",137.491,5,"Banda Sea"
"2024-01-04T04:56:37.532Z",197,5.7,"125 km W of Houma, Tonga"
"2024-01-05T03:16:52.349Z",10,5.1,"western Indian-Antarctic Ridge"
"2024-01-05T20:26:51.093Z",10,5.1,"6 km W of Anamizu, Japan"
"2024-01-06T11:46:31.666Z",10,5.6,"Carlsberg Ridge"
"2024-01-06T12:33:02.528Z",10,5.5,"southern East Pacific Rise"
"2024-01-07T06:58:16.209Z",10,5,"211 km SW of Merizo Village, Guam"
"2024-01-07T08:35:32.422Z",142.52,5.3,"84 km WSW of Curahuara de Carangas, Bolivia"
"2024-01-07T18:06:11.273Z",10,5.6,"Balleny Islands region"
"2024-01-07T20:00:07.311Z",10,5.5,"Balleny Islands region"
"2024-01-07T21:41:05.926Z",10,5.1,"77 km ESE of Fangale’ounga, Tonga"
"2024-01-08T07:39:50.400Z",10,5,"Maug Islands region, Northern Mariana Islands"
"2024-01-08T09:51:30.178Z",17.148,5.2,"29 km SSE of Tuapejat, Indonesia"
"2024-01-08T20:48:42.361Z",62.574,6.7,"93 km SE of Sarangani, Philippines"
"2024-01-09T02:54:57.043Z",199.672,5.2,"32 km WSW of Sola, Vanuatu"
"2024-01-09T04:45:06.777Z",10,5.1,"148 km WSW of Teluk Dalam, Indonesia"
"2024-01-09T07:53:21.240Z",10,5.6,"134 km SE of Pangai, Tonga"
"2024-01-09T08:59:10.141Z",10,5.9,"53 km WSW of Sado, Japan"
"2024-01-09T16:47:25.900Z",175.245,5.4,"128 km SE of Ollagüe, Chile"
"2024-01-10T02:29:02.702Z",10,5,"southern Mid-Atlantic Ridge"
"2024-01-10T22:44:39.195Z",10,5,"Mariana Islands region"
"2024-01-10T23:54:46.124Z",120.742,5,"32 km ENE of Moyobamba, Peru"
"2024-01-11T04:54:31.447Z",10,5.2,"South Pacific Ocean"
"2024-01-11T09:20:26.337Z",204,6.4,"45 km SSW of Jurm, Afghanistan"
"2024-01-12T02:05:04.693Z",44.076,5,"121 km ESE of Sarangani, Philippines"
"2024-01-12T03:07:39.718Z",10,5,"Pagan region, Northern Mariana Islands"
"2024-01-12T03:51:05.886Z",28.748,5,"81 km WSW of Palaióchora, Greece"
"2024-01-12T07:46:21.171Z",11.1,5.9,"69 km WNW of Port Alexander, Alaska"
